,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Windspeed (mph)
441,Coquimbo,CL,60.8,-29.95,-71.34,82,90,4.7
442,Ankazoabo,MG,72.57,-22.29,44.51,66,0,6.73
443,Boende,CD,70.95,-0.28,20.88,99,36,2.15
444,Mandalgovi,MN,28.74,45.76,106.27,77,92,14.34
445,Ca Mau,VN,77.97,9.18,105.15,94,12,5.17
446,Bozeman,US,60.8,45.68,-111.04,53,20,25.28
447,Saint-Pierre,FR,48.99,48.95,4.24,87,80,6.93
448,Aviles,ES,55,43.55,-5.92,93,90,2.24
449,Hibbing,US,46.4,47.43,-92.94,100,90,4.7
450,Makakilo City,US,82.4,21.35,-158.09,69,90,6.93
451,Haines Junction,CA,36.93,60.75,-137.51,71,56,3.27
452,Ketchikan,US,48.2,55.34,-131.65,81,90,19.46
453,Kudahuvadhoo,MV,81.03,2.67,72.89,100,80,1.81
454,Cherrapunji,IN,60.33,25.28,91.72,97,32,2.04
455,Okoneshnikovo,RU,22.53,54.84,75.08,71,0,2.93
456,Hithadhoo,MV,84.72,-0.6,73.08,100,88,4.72
457,Carmen,PH,78.51,7.2,124.8,87,44,3.38
458,Niquelandia,BR,73.92,-14.47,-48.46,90,76,2.71
459,Vardo,US,68,39.62,-77.74,55,90,9.17
460,Suntar,RU,26.85,62.16,117.65,68,0,5.84
461,Humaita,AR,66.2,-24.93,-65.37,59,20,5.82
462,Lakatoro,VU,83.46,-16.11,167.42,80,0,8.75
463,Beloha,MG,72.93,-25.17,45.06,79,0,9.19
464,Nalut,LY,57.18,31.86,10.98,40,0,11.21
465,Saint-Denis,FR,51.8,48.94,2.36,81,0,2.24
466,Chute-aux-Outardes,CA,30.99,49.12,-68.38,28,1,8.05
467,Mahibadhoo,MV,84.27,3.78,72.97,100,92,2.15
468,Kijang,KR,55.4,35.24,129.21,82,0,2.24
469,Eyl,SO,74.91,7.98,49.82,100,12,5.17
470,Paamiut,GL,32.7,61.99,-49.67,93,24,5.61
471,Sinjar,SY,56.19,35.59,37,94,76,3.71
472,Sioux Lookout,CA,37.4,50.1,-91.92,100,90,3.36
473,Anloga,GH,77,5.79,0.9,88,20,5.82
474,Guatire,VE,73,10.47,-66.54,51,0,3.38
475,Becerril,CO,84.36,9.7,-73.28,43,100,0.92
476,San Jeronimo,PE,49.89,-13.65,-73.37,66,0,1.92
477,Jamkhed,IN,64.65,18.74,75.31,68,0,2.82
478,Newport,GB,51.01,51.59,-3,93,75,4.7
479,Neiafu,TO,84.2,-18.65,-173.98,79,75,8.05
480,Hualmay,PE,70.14,-11.1,-77.61,78,8,2.71
481,Presidencia Roque Saenz Pena,AR,63.75,-26.79,-60.44,74,0,5.95
482,Maniitsoq,GL,28.2,65.42,-52.9,83,88,5.61
483,Omboue,GA,83.82,-1.57,9.26,100,88,4.72
484,Arlit,NE,69.51,18.74,7.39,20,0,4.83
485,Pangnirtung,CA,20.37,66.15,-65.72,93,80,4.16
486,Slave Lake,CA,46.4,55.28,-114.77,61,1,5.82
487,Whitehorse,CA,46,60.72,-135.06,48,75,12.75
488,Lujan,AR,49.71,-46.57,-67.67,84,88,12.88
489,Domaszek,HU,53.6,46.25,20.01,66,0,10.29
490,Constitucion,MX,75.2,23.99,-104.67,10,5,3.36
491,Marawi,PH,79,8,124.29,90,36,5.99
492,Port Hedland,AU,80.6,-20.31,118.58,94,44,5.82
493,Narsaq,GL,30.2,60.91,-46.05,92,92,1.12
494,Banmankhi,IN,66.09,25.89,87.19,88,12,8.97
495,Nantucket,US,48.99,41.28,-70.1,87,1,6.93
496,Maraa,BR,77.88,-1.83,-65.37,87,92,3.94
497,Watrous,CA,51.51,51.67,-105.46,58,12,14.45
498,Nouadhibou,MR,64.4,20.93,-17.03,68,36,16.11
499,Santa Rosalia,IT,57,38.07,13.27,81,75,10.29
500,Tanout,NE,85.08,14.97,8.88,20,32,13.78
501,Guaruja,BR,75.2,-23.99,-46.26,88,75,4.7
502,Olga,US,87.01,34.11,-118.17,60,40,11.41
503,Kilindoni,TZ,82.2,-7.91,39.67,100,64,9.42
504,Tooele,US,66.99,40.53,-112.3,34,1,3.36
505,Leningradskiy,RU,3.72,69.38,178.42,100,12,1.7
506,Honningsvag,NO,25.95,70.98,25.97,100,48,8.3
507,Lufilufi,WS,89.6,-13.87,-171.6,70,40,14.99
508,Tigil,RU,29.28,57.8,158.67,93,0,7.96
509,Tevaitoa,PF,84.9,-16.78,-151.5,96,88,15.57
510,Purranque,CL,57.2,-40.91,-73.16,93,20,3.36
511,Kedgwick,CA,20.1,47.65,-67.35,51,0,6.62
512,Bonthe,SL,81.21,7.53,-12.5,83,68,3.94
513,Kununurra,AU,86,-15.77,128.74,55,75,8.05
514,Batangafo,CF,77.07,7.3,18.29,78,64,16.69
515,Nerchinskiy Zavod,RU,27.03,51.31,119.61,60,0,3.6
516,Oktyabrskiy,RU,39,55.61,37.97,80,56,6.71
517,Alta Floresta,BR,74.64,-9.87,-56.08,94,88,1.92
518,Chekhov,RU,39,55.14,37.45,74,0,11.18
519,Businga,CD,75.54,3.34,20.89,85,24,4.61
520,Sampit,ID,77.16,-2.54,112.95,97,32,4.72
521,Divnomorskoye,RU,55.11,44.5,38.13,58,24,7.63
522,Khani,GE,48.2,41.96,42.96,87,0,3.36
523,Lagunas,PE,73.38,-5.23,-75.68,87,88,3.15
524,Okakarara,NA,58.08,-20.59,17.46,72,0,3.83
525,Havelock,US,66.2,34.88,-76.9,72,75,5.82
526,Wiltz,LU,48.99,49.97,5.93,93,56,4.7
527,Bilma,NE,75.54,18.69,12.92,24,0,9.19
528,Dongsheng,CN,72.57,29.72,112.52,81,0,11.77
529,Esna,RO,47.64,45.2,27.57,83,32,3.04
530,Baglung,NP,41.16,28.27,83.59,87,0,1.92
531,Imbituba,BR,68,-28.24,-48.67,94,75,8.05
532,Salinas,US,78.01,36.67,-121.66,64,1,5.82
